customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,IntrntSrvc_DSL,IntrntSrvc_FiberOptic,IntrntSrvc_No,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract_Monthly,Contract_OneYear,Contract_TwoYear,PaperlessBilling,PayMthd_BankTransfer,PayMthd_CreditCard,PayMthd_ElectronicCheck,PayMthd_MailedCheck,MonthlyCharges,TotalCharges,Churn
6234-RAAPL,0,0,1,1,72,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,99.9,7252.0,0
6047-YHPVI,1,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,69.7,317.0,1
6572-ADKRS,0,0,0,0,46,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,74.8,3548.0,0
5380-WJKOV,1,0,0,0,34,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,106.4,3550.0,1
8168-UQWWF,0,0,0,0,11,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,97.9,1105.0,1
8865-TNMNX,1,0,1,1,10,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,49.56,475.8,0
9489-DEDVP,0,0,1,1,70,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,69.2,4870.0,0
9867-JCZSP,0,0,1,1,17,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20.75,418.2,0
4671-VJLCL,0,0,0,0,63,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,79.9,4860.0,0
4080-IIARD,0,0,1,0,13,1,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,76.2,981.5,0
3714-NTNFO,0,0,0,0,49,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,84.5,3906.0,0
5948-UJZLF,1,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,49.25,97.0,0
7760-OYPDY,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,80.6,144.1,1
7639-LIAYI,1,0,0,0,52,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,79.75,4216.0,0
2954-PIBKO,0,0,1,1,69,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,64.1,4256.0,0
8012-SOUDQ,0,1,0,0,43,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,90.25,3838.0,0
9420-LOJKX,0,0,0,0,15,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,99.1,1426.0,1
6575-SUVOI,0,1,1,0,25,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,69.5,1753.0,0
7495-OOKFY,0,1,1,0,8,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,80.6,633.5,1
4667-QONEA,0,1,1,1,60,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,74.9,4456.0,0
1658-BYGOY,1,1,0,0,18,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,95.44,1753.0,1
8769-KKTPH,0,0,1,1,63,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,99.6,6310.0,0
5067-XJQFU,1,1,1,1,66,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,108.44,7076.0,0
3957-SQXML,0,0,1,1,34,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,24.95,894.5,0
5954-BDFSG,0,0,0,0,72,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,107.5,7852.0,0
0434-CSFON,0,0,1,0,47,1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0,100.5,4708.0,0
1215-FIGMP,1,0,0,0,60,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,89.9,5452.0,0
0526-SXDJP,1,0,1,0,72,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,42.1,2962.0,0
0557-ASKVU,0,0,1,1,18,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,54.4,957.0,0
5698-BQJOH,0,0,0,0,9,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,94.4,857.0,1
5122-CYFXA,0,0,0,0,3,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,75.3,244.1,0
8627-ZYGSZ,1,0,1,0,47,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,78.9,3650.0,0
3410-YOQBQ,0,0,0,0,31,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,79.2,2498.0,0
3170-NMYVV,0,0,1,1,50,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20.16,931.0,0
7410-OIEDU,1,0,0,0,10,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,79.9,887.5,0
2273-QCKXA,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,49.06,49.06,0
0731-EBJQB,0,0,1,1,52,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,20.4,1091.0,0
1891-QRQSA,1,1,1,1,64,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,111.6,7100.0,0
8028-PNXHQ,1,0,1,1,62,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,24.25,1425.0,0
5630-AHZIL,0,0,0,1,3,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,64.5,177.4,0
2673-CXQEU,0,1,0,0,56,1,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,110.5,6140.0,0
6416-JNVRK,0,0,0,0,46,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,55.66,2688.0,0
5590-ZSKRV,0,0,1,1,8,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,54.66,482.2,0
0191-ZHSKZ,1,1,0,0,30,1,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,0,74.75,2112.0,0
3887-PBQAO,0,0,1,1,45,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,25.9,1217.0,0
5919-TMRGD,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,79.4,79.4,1
8108-UXRQN,0,0,1,1,11,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,50.56,565.5,0
9191-MYQKX,0,0,1,0,7,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,75.1,497.0,1
9919-YLNNG,0,0,0,0,42,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,103.8,4330.0,0
0318-ZOPWS,0,0,1,0,49,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,20.16,973.5,0
4445-ZJNMU,1,0,0,0,9,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,99.3,919.0,0
4808-YNLEU,0,0,1,0,35,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,62.16,2216.0,0
1862-QRWPE,0,0,1,1,48,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20.66,1057.0,0
2796-NNUFI,0,0,1,1,46,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,19.95,927.0,0
3016-KSVCP,1,0,1,0,29,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,33.75,1009.0,0
4767-HZZHQ,1,0,1,1,30,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,82.06,2570.0,0
2424-WVHPL,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,74.7,74.7,0
7233-PAHHL,1,0,1,1,66,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,84.0,5716.0,0
6067-NGCEU,0,0,0,0,65,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,111.06,7108.0,0
9848-JQJTX,1,0,0,0,72,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0,0,0,100.9,7460.0,0
8637-XJIVR,0,0,0,0,12,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,78.94,927.5,1
9803-FTJCG,1,0,1,1,71,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,66.9,4748.0,0
0278-YXOOG,1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,21.05,113.9,1
3212-KXOCR,1,0,0,0,52,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,21.0,1107.0,0
4598-XLKNJ,0,1,1,0,25,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,98.5,2514.0,1
6380-ARCEH,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20.2,20.2,0
3679-XASPY,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,19.45,19.45,0
7123-WQUHX,1,0,0,0,38,1,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,95.0,3606.0,0
5386-THSLQ,0,1,1,0,66,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,45.56,3028.0,0
3192-NQECA,1,0,1,0,68,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,110.0,7612.0,1
6180-YBIQI,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,24.3,100.2,0
6728-DKUCO,0,0,1,1,72,1,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,104.1,7304.0,0
9750-BOOHV,0,0,0,0,32,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,30.16,927.5,0
8597-CWYHH,1,0,0,0,43,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,94.4,3922.0,0
2848-YXSMW,1,0,1,1,72,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,19.4,1363.0,0
0486-HECZI,1,0,1,0,55,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,96.75,5240.0,1
4549-ZDQYY,0,0,0,0,52,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,57.94,3042.0,0
5712-AHQNN,0,0,0,0,43,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,91.6,3954.0,0
4846-WHAFZ,0,1,1,0,37,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,76.5,2868.0,1
5256-SKJGO,0,0,1,1,64,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,54.6,3424.0,0
3071-VBYPO,1,0,1,1,3,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,89.9,248.4,0
9560-BBZXK,0,0,0,0,36,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,31.05,1126.0,0
5299-RULOA,0,0,1,1,10,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,100.25,1065.0,1
8402-OOOHJ,0,0,0,0,41,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20.66,835.0,0
9445-ZUEQE,1,0,1,1,27,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,85.2,2152.0,0
1091-SOZGA,0,0,1,1,56,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,99.8,5516.0,0
2928-HLDBA,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20.7,112.75,0
0404-SWRVG,1,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,74.4,229.5,1
6497-TILVL,0,0,1,1,7,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,50.7,350.2,0
7219-TLZHO,0,0,1,1,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20.84,62.9,0
4622-YNKIJ,1,0,0,0,33,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,88.94,3028.0,0
4412-YLTKF,0,1,0,0,27,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,78.06,2136.0,1
6734-PSBAW,1,0,1,0,72,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,23.55,1724.0,0
3930-ZGWVE,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,19.75,19.75,0
2639-UGMAZ,1,1,0,0,71,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,56.44,3986.0,0
2876-GZYZC,0,0,0,0,13,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,85.94,1216.0,0
6207-WIOLX,0,0,1,1,25,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,58.6,1503.0,1
8587-XYZSF,1,0,0,0,67,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,50.56,3260.0,0
3091-FYHKI,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,35.44,35.44,1
2372-HWUHI,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,44.34,81.25,1
7799-LGRDP,0,0,0,0,43,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,25.7,1188.0,0
7850-VWJUU,0,0,0,0,23,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,75.0,1778.0,0
3774-VBNXY,0,0,1,1,64,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,20.2,1278.0,0
6217-KDYWC,1,0,0,1,57,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,19.6,1171.0,0
0390-DCFDQ,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,70.44,70.44,1
3146-MSEGF,0,1,1,1,72,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,88.06,6424.0,0
4080-OGPJL,0,0,0,0,8,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,71.1,563.5,1
1095-WGNGG,0,0,1,0,61,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,101.06,5972.0,0
2636-SJDOU,1,0,0,0,64,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,84.3,5290.0,0
1131-QQZEB,1,1,1,0,71,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,23.95,1756.0,0
5716-EZXZN,0,0,1,1,65,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,99.06,6416.0,0
6837-BJYDQ,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,19.6,61.34,0
2135-RXIHG,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,45.66,45.66,1
6440-DKQGE,1,0,0,1,30,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,64.5,1930.0,0
3466-BYAVD,1,0,1,1,15,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,69.5,1071.0,0
3780-YVMFA,0,0,1,1,8,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,0,68.56,564.5,0
3874-EQOEP,1,0,0,0,7,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,95.0,655.5,1
1679-JRFBR,0,0,1,1,70,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,108.1,7932.0,0
9073-ZZIAY,1,0,1,1,62,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,86.1,5216.0,0
3077-RSNTJ,0,0,1,1,6,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,19.7,113.5,0
6551-GNYDG,0,0,1,1,14,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,80.9,1153.0,0
9167-APMXZ,0,0,0,0,22,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,84.1,1822.0,0
2749-CTKAJ,1,0,1,1,22,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20.16,420.0,0
6371-NZYEG,1,0,1,1,16,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,64.25,1024.0,0
7554-NEWDD,1,0,0,0,10,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,25.7,251.6,0
8992-VONJD,0,0,0,1,13,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,56.0,764.5,0
0867-MKZVY,0,0,1,0,20,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,82.4,1592.0,1
4482-EWFMI,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,69.7,135.2,0
4648-YPBTM,1,0,0,0,53,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,73.9,3958.0,0
2907-ILJBN,0,0,1,1,11,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,20.6,233.9,0
6345-FZOQH,1,0,1,0,69,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,19.9,1363.0,0
3376-BMGFE,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,70.9,273.0,1
5997-OPVFA,1,0,1,0,72,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,0,89.06,6256.0,0
3445-HXXGF,1,1,1,0,58,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,45.3,2652.0,1
1159-WFSGR,0,0,1,1,16,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,20.4,321.5,0
7654-YWJUF,1,0,1,0,43,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,0,84.25,3540.0,0
1875-QIVME,0,0,1,0,2,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,104.4,242.8,1
6727-IOTLZ,1,0,1,0,14,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,81.94,1182.0,0
0691-JVSYA,0,0,1,0,53,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,94.9,5000.0,1
5918-VUKWP,0,0,0,0,32,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,20.55,654.5,0
1744-JHKYS,0,0,1,0,34,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,24.7,780.0,0
2656-FMOKZ,0,1,0,0,15,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,74.44,1146.0,1
2070-FNEXE,0,1,0,0,7,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,76.44,503.5,1
5947-SGKCL,0,0,1,1,15,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,105.4,1559.0,0
3712-PKXZA,1,0,1,0,61,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,20.55,1252.0,0
6317-YPKDH,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,29.95,29.95,1
6582-OIVSP,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,45.3,45.3,0
9367-WXLCH,1,0,0,0,8,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,84.5,662.5,1
5524-KHNJP,1,0,1,1,33,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,74.75,2454.0,0
1918-ZBFQJ,0,0,0,0,13,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,79.25,1112.0,1
1024-GUALD,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,24.8,24.8,1
4827-USJHP,1,0,0,0,20,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,51.8,1024.0,0
8167-GJLRN,1,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,30.4,82.1,0
0956-SYCWG,0,0,0,0,13,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19.66,244.8,0
8017-UVSZU,0,0,1,0,40,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,56.6,2380.0,0
7100-FQPRV,1,0,1,1,43,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,71.9,3174.0,0
2472-OVKUP,1,0,1,0,6,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,91.0,531.0,1
2984-RGEYA,0,0,1,1,69,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19.75,1375.0,0
9680-NIAUV,0,0,1,1,72,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,0,0,109.7,8130.0,0
2146-EGVDT,1,0,1,1,59,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,19.3,1193.0,0
2604-IJPDU,0,0,1,0,20,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,96.56,1902.0,0
9178-JHUVJ,1,0,1,1,24,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,24.1,587.5,0
6168-YBYNP,1,0,0,0,59,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,111.4,6520.0,0
7255-SSFBC,1,0,1,1,72,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,112.25,8040.0,0
